Date,Trips,Precip,Tavg,Hol
1/1/2016,11009,0,42,1
1/2/2016,14587,0,38,0
1/3/2016,15499,0,40,0
1/4/2016,19593,0,34,0
1/5/2016,18053,0,19,0
1/6/2016,24569,0,29,0
1/7/2016,27773,0,37,0
1/8/2016,28709,0,40,0
1/9/2016,20846,0.02,45,0
1/10/2016,14275,1.28,52,0
1/11/2016,22937,0,38,0
1/12/2016,25211,0,33,0
1/13/2016,21133,0,29,0
1/14/2016,23780,0,29,0
1/15/2016,28435,0,40,0
1/16/2016,19178,0.33,48,0
1/17/2016,12024,0.05,39,0
1/18/2016,12718,0,29,1
1/19/2016,17281,0,23,0
1/20/2016,23419,0,32,0
1/21/2016,23671,0,33,0
1/22/2016,20950,0.01,27,0
1/23/2016,0,2.9,29,0
1/24/2016,0,0,27,0
1/25/2016,0,0,31,0
1/26/2016,0,0,39,0
1/27/2016,6760,0,43,0
1/28/2016,11944,0,35,0
1/29/2016,16028,0,38,0
1/30/2016,12964,0,33,0
1/31/2016,16112,0,40,0
2/1/2016,24334,0,48,0
2/2/2016,28527,0,44,0
2/3/2016,16203,0.44,47,0
2/4/2016,27765,0.04,53,0
2/5/2016,13669,0.76,39,0
2/6/2016,16933,0,33,0
2/7/2016,17605,0,37,0
2/8/2016,19026,0.16,36,0
2/9/2016,22740,0,30,0
2/10/2016,22418,0.02,35,0
2/11/2016,18747,0,28,0
2/12/2016,16445,0,22,0
2/13/2016,6625,0,22,0
2/14/2016,4652,0,8,0
2/15/2016,5883,0.64,19,1
2/16/2016,14225,0.47,46,0
2/17/2016,23572,0,40,0
2/18/2016,22261,0,35,0
2/19/2016,21959,0,30,0
2/20/2016,24484,0,46,0
2/21/2016,20052,0.08,49,0
2/22/2016,28233,0,45,0
2/23/2016,16133,0.29,39,0
2/24/2016,9761,1.05,44,0
2/25/2016,25102,0.04,50,0
2/26/2016,22574,0,38,0
2/27/2016,17226,0,33,0
2/28/2016,25440,0,43,0
2/29/2016,27957,0.06,48,0
